post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47768195,"Spain to expand internet blocks to tennis, golf, movies broadcasting times",technology,148,100,akyuu,2026-04-14 23:44:22,0.6711409395973155,True
47768133,Claude Code Routines,technology,92,50,matthieu_bl,2026-04-14 23:44:22,0.5376344086021505,False
47767676,5NF and Database Design,technology,51,14,petalmind,2026-04-14 23:44:22,0.2692307692307692,False
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,technology,40,15,zc2610,2026-04-14 23:44:22,0.36585365853658536,False
47767606,Show HN: Kelet – Root Cause Analysis agent for your LLM apps,technology,25,11,almogbaku,2026-04-14 23:44:22,0.4230769230769231,False
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,43,12,mc-serious,2026-04-14 23:44:22,0.2727272727272727,False
47767119,"Show HN: A memory database that forgets, consolidates, and detects contradiction",technology,6,1,pranabsarkar,2026-04-14 23:44:22,0.14285714285714285,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,94,44,tie-in,2026-04-14 23:44:22,0.4631578947368421,False
47768756,All 5 units of life's genetic code were just discovered in an asteroid sample,technology,7,1,PaulHoule,2026-04-14 23:44:22,0.125,False
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,technology,25,0,hn_acker,2026-04-14 23:44:22,0.0,False
47728970,"Write less code, be more responsible",technology,151,100,orhunp_,2026-04-14 23:44:22,0.6578947368421053,True
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,64,8,adunk,2026-04-14 23:44:22,0.12307692307692308,False
47753689,Building a CLI for all of Cloudflare,technology,322,106,soheilpro,2026-04-14 23:44:22,0.3281733746130031,True
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,21,2,apollinaire,2026-04-14 23:44:22,0.09090909090909091,False
47766330,To teach in the era of ChatGPT is to know pain,technology,25,4,ckemere,2026-04-14 23:44:22,0.15384615384615385,False
47708457,Rust Threads on the GPU,technology,111,37,PaulHoule,2026-04-14 23:44:22,0.33035714285714285,False
47729046,Air Powered Segment Display? [video],technology,127,12,ProfDreamer,2026-04-14 23:44:22,0.09375,False
47764833,Stanford HAI Index Report 2026,technology,6,1,giuliomagnifico,2026-04-14 23:44:22,0.14285714285714285,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,30,mufeedvh,2026-04-14 23:44:22,0.3448275862068966,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,140,33,galaxyLogic,2026-04-14 23:44:22,0.23404255319148937,False
47750872,Servo is now available on crates.io,technology,465,147,ffin,2026-04-14 23:44:22,0.315450643776824,True
47764164,The Case Against Gameplay Loops (2024),technology,51,50,coinfused,2026-04-14 23:44:22,0.9615384615384616,False
47755209,B-trees and database indexes (2024),technology,114,43,tosh,2026-04-14 23:44:22,0.3739130434782609,False
